player_id,name,position,current_team,jersey_number
5268,Ben Johnson,TE,,0.0
2185,Corey Brown,WR,,5.0
8375,Kalia Davis,DL,SF,93.0
4659,Nelson Adams,DE,,62.0
6087,Chris Johnson,DB,,0.0
8511,Rasheed Walker,OL,GB,63.0
6075,Jesper Horsted,TE,,84.0
12297,Jake Kradel,OL,,
2860,Bryce Callahan,CB,,23.0
11110,Duplicate Player,,,
11145,Tanner Brown,K,,49.0
4697,Khalid Abdullah,RB,,0.0
11819,Levi Drake Rodriguez,DT,MIN,50.0
1042,Tank Carder,LB,,59.0
1946,Max Bullough,LB,,53.0
539,Marc Mariani,WR,,87.0
12172,Pheldarius Payne,DL,,
12831,Tyler Kahmann,WR,,
4020,Matt Lafleur,,,0.0
12220,Brevin Easton,WR,,
13137,Trace Ford,DL,NYG,48.0
2591,La'el Collins,T,,72.0
6350,Parker Baldwin,SS,,43.0
3089,Jim Tomsula,,,0.0
4118,Alex Anzalone,LB,DET,34.0
7829,Tommy Doyle,OT,,72.0
4918,Brock Miller,P,,4.0
11958,X'Zauvea Gadlin,G,,
2856,Brian Blechen,OLB,,45.0
4106,Larry Ogunjobi,DT,BUF,99.0
3557,Brandon Williams,CB,NYG,28.0
3589,Chris Milton,DB,MIA,35.0
5550,John David Moore,RB,,43.0
3479,Antwaun Woods,DT,,92.0
7208,Josh Thomas,DB,,38.0
5876,Julian Love,DB,SEA,20.0
11612,Bru McCoy,WR,,
12542,Efton Chism,WR,NE,86.0
3549,Pearce Slater,G,,0.0
4979,Jaire Alexander,CB,,18.0
3763,Woodrow Hamilton,DT,NYG,90.0
